name,lon,lat
水素センター前バス停,130.20242140034622,33.536988948192125
美咲ヶ丘駅バス停,130.18585940153957,33.55009672340202
美咲ヶ丘中央バス停,130.18817637926531,33.54831282045206
美咲ヶ丘入口バス停,130.1910333031757,33.54790982962527
総合庁舎前バス停,130.20769108202967,33.56324866727713
糸高南バス停,130.20994241269295,33.55408781554412
糸島高校前駅南口バス停,130.21373687714,33.56070709428446
篠原東バス停,130.212654126007,33.55443582219677
糸島高校前駅北口バス停,130.21375717134856,33.56093246063802
篠原公園バス停,130.2047910312889,33.553909998785755
篠原バス停,130.20775641234582,33.55422485897015
辰ヶ橋入口バス停,130.24479676263868,33.5127081713222
九大学研都市駅バス停,130.25918643128423,33.57854298738103
高田バス停,130.23594416224375,33.570442132793644
糸島農協前バス停,130.2072848941906,33.560655269483
糸島市役所前バス停,130.19630113328515,33.55698075420202
筒井町バス停,130.19339908405163,33.55752991459776
産業団地入口バス停,130.2034611279105,33.538622379595175
産業団地バス停,130.20176328960406,33.54058148642931
産の宮バス停,130.22384424568088,33.56462716186866
瑞梅寺入口バス停,130.2409017764826,33.51960936179233
国際村前バス停,130.21285402394176,33.583889844300714
伊都の湯どころ入口バス停,130.21444189167857,33.583764712987055
潤バス停,130.21796920005568,33.563462054633405
浦志バス停,130.21281561038017,33.56218125672582
波多江駅西バス停,130.22574272906888,33.5629745592193
波多江小学校前バス停,130.23093905589076,33.56726927351392
仏青寮前バス停【旧：桂木バス停（馬場・油比経由）】,130.2104192181455,33.58457634597669
新田バス停,130.20010911602935,33.57236511501935
山崎バス停,130.2523798901334,33.57700243008834
夫婦橋バス停,130.1872243106659,33.57730416783271
商工会前バス停,130.19787913349808,33.560914143731836
周船寺東口バス停,130.24912771170284,33.57439895075103
周船寺小学校前バス停,130.23994065413137,33.5716132831246
周船寺バス停,130.24454030067636,33.57303417397882
前原コミュニティセンター前バス停,130.2023783071338,33.561290024451225
吉原橋バス停,130.2021261794864,33.56504253581025
南風台東バス停,130.1994625367263,33.550008168203156
南風台入口バス停,130.1971579367255,33.55063884090505
南風台中央バス停,130.1964556955263,33.54899149135232
半導体センター前バス停,130.19835517147965,33.535668332435925
医師会病院東バス停,130.20410379909788,33.5677151531806
医師会病院前バス停,130.20213605996696,33.56749587138307
北原バス停,130.25624763553287,33.58017490267271
前原駅南口バス停,130.1992872515939,33.55661950384799
前原駅北口バス停,130.19880941516158,33.557225042843285
前原バス停,130.19916076320135,33.559384788772455
前原インター口バス停,130.19695669410817,33.54425061166754
健康福祉センター前（あごら）バス停,130.2192435424463,33.55834489444298
伊都文化会館前バス停,130.2036373700472,33.56016255120705
井上病院前バス停,130.22624307828335,33.56020424093192
丸田池公園前バス停,130.1984325434538,33.557936474548384
吉田バス停,130.18342793743227,33.60189708621231
伊都営業所バス停,130.21012630480584,33.602787697219874
伊牟田バス停,130.1871463572744,33.6218757922307
井田原バス停,130.18424397828483,33.58810070422164
野北バス停,130.1659456523564,33.61430251422232
桜井バス停,130.19252991113467,33.620623485213535
周船寺駅バス停,130.2459708061026,33.570961805013056
構造改善センター前バス停,130.26160519877953,33.53068870320143
井田原北バス停,130.18335713232943,33.59169940601885
東風コミュニティセンター前バス停,130.21533955695668,33.56817796353054
志摩中央公園前バス停,130.18442314320418,33.58248932928244
泊三区バス停,130.21361064195332,33.571708284789594
白糸の森バス停,130.17902768350314,33.4919431859793
扇原バス停,130.2016016924805,33.61061130307253
九大東ゲートバス停,130.2290275306442,33.60130503303641
九大イーストゾーンバス停,130.22870566556241,33.598978656337685
九大中央図書館バス停,130.22640969464567,33.59761736669448
九大農学部バス停,130.21338426885563,33.59445504136566
荻の浦バス停,130.18942819680592,33.5529591753699
大浦台団地入口バス停,130.1880960980992,33.5695831158125
北新地バス停,130.19556428180203,33.562130320417985
神在バス停,130.1827794295276,33.54833311052537
犬石バス停,130.17048737260768,33.54655571393121
赤坂バス停,130.1763635765309,33.5470716732848
加布里東口バス停,130.16694162068552,33.547201334669594
加布羅バス停,130.18993475237892,33.56512449129052
加布里バス停,130.16396477658122,33.54947487680791
作出入口バス停,130.1879122252385,33.57382077450444
初バス停,130.183307344254,33.58195304224248
波多江駅バス停,130.22637893319995,33.5640997598312
筑前深江駅前バス停,130.13929898185643,33.51555125064037
交流プラザ志摩館北口バス停,130.18334647428298,33.58381909765581
久米バス停,130.17122849979944,33.60922720003391
間少路バス停,130.17250356686918,33.616569307098196
桜野小学校バス停,130.17791061884372,33.618388804036115
赤隈バス停,130.18134383353845,33.62063730492639
谷バス停,130.19831802394924,33.61398514009199
大石前バス停,130.18708938569807,33.56760486989485
大浦台バス停,130.18493683685892,33.56893839086269
大浦池通りバス停,130.1835525713874,33.5695350215653
堤下バス停,130.18604634600206,33.57033850518097
大牟田バス停,130.1855876882605,33.57241171630678
志摩スカイタウンバス停,130.1846663879271,33.57459992982332
師吉東バス停,130.18174365260813,33.57366641174918
師吉中バス停,130.1792331049702,33.57539092949335
師吉公民館バス停,130.17819749655518,33.577271163461624
師吉荘前バス停,130.1796988151508,33.57968563179515
稲留バス停,130.17326384685054,33.58605764193845
東小金丸バス停,130.1648351228166,33.58639282511927
西小金丸バス停,130.15953739715917,33.587071474678645
志摩中入口バス停,130.15466148622602,33.58902351391876
小富士園前バス停,130.14687491200595,33.58245407143664
貝塚バス停,130.14475905216182,33.57623128434264
松原（船越線）バス停,130.13979294742,33.565587775999674
香月バス停,130.13451977810098,33.56096258946801
久家バス停,130.1319360700703,33.558335636775496
船越バス停,130.1281947377721,33.55738063012536
